,id,de,ch_sg,ch_be,ch_gr,ch_zh,ch_vs,ch_bs,ch_ag,ch_lu,thema,code_switching
10,10,"Politologin Sarah Bütikofer: « Man kann nicht erwarten, dass sich der Umgangston oder die Politik im Allgemeinen fundamental verändern.","dPolitologin Sarah Bütikofer: ""Me cha nöd erwarte, dass sich de Umgangston oder dPolitik im Allgemeine fundamental veränderet.""","Politologin Sarah Bütikofer: ""Mä cha nid erwartä, dass sech dr Umgangston oder d Politik im Augemeinä fundamental änderä.","D Politologin Sarah Bütikofer: ""Ma kann nit erwarta, dass sich dr Umgangston oder d Politik im Allgemeina fundamental veränderen.","D Politologin Sarah Bütikofer:""Mer chan nöd erwarte, dass sich de Umgangston oder d Politik im Allgemeine fundamental verändered.""","Politologin Sarah Bütikofer: ""Mu cha nit erwartu, dass schich der Umgangston oder die Politik im Allgmeinu fundamental verändrunt.""",,"Politologin Sarah Bütikofer: ""Mer cha ned erwarte, dass sech de Omgangston oder d'Politik em Allgemeine fundamental veränderet"".","D Plitologin Sarah Bütikhofer: ""MEr cha ned erwarte, dass sech de Omgangston oder d Politik em Allgemeine fundamental verändered.",schweizer-politik,
11,11,"Sie baut ein Nest, legt Eier und füttert ihre Jungen mit Pollen.","Si baut es Nest, leit Eier und füettered ihri Junge mit Polle.","Si bout es Näscht, leit Eier und füetteret iri Jungä mit Pollä.","Sie baut as Nest, leggt eier und füatteret ihri Junga mit Polla.","Si bout es Näscht, leit Eier und füetered ihri Junge mit Polle.","Schi baut es Näscht, leit Eier und fiettrut ihrusch Jungi mit Polle.","Si baut ae Näst, leggt Eier und füeteret ihri Junge mit Polle.","Sie baut es Näscht, leit Eier ond füetteret eri Jonge met Polle.","Sie bout es Näst, leit Eier ond füettered ehri Jonge met Polle.",tiere-pflanzen-landwirtschaft,
12,12,"Der Grund: Moore wurden entwässert und trockengelegt, um Weideland aber auch Torf als Brennstoff zu gewinnen.","De Grund: Moor sind entwässered und trochegleit worde, um Weideland aber au Torf als Brennstoff zgwünne.","Dr Grund: Moor si entwässeret und trochägleit wordä, um Weideland aber o Torf aus Brönnschtoff z gwinnä.","Dr Grund: Moor sind entwässeret und trockagleit worda, zum Weideland aber au Torf als Brennstoff z gwünna.","De Grund: Moor sind entwässered und trochegleit worde, zum Weideland aber au Torf und Brännstoff überzcho.","Der Grund: Moori sind entwässrut und trochugleit wordu, fer Weidland aber öi Torf als Brännstoff z'gwinnu.","Dr Grund: Moor sind entwässeret und trockeglegt worde, zum Weideland aber au Torf als Brenstoff z'gwünne.","De Grond: Moore send entwässeret ond trochegleit, zom Weideland aber au Torf als Brönnstoff z'gönne.","De Grond: Moor send entwässeret ond troche gleit worde, zoms als Weideland ond de Torf als Brönnstoff z bruche.",tiere-pflanzen-landwirtschaft,
13,13,Viele impfskeptische Eltern informieren sich über das Internet.,Vill impfskeptischi Eltere informiered sich über sInternet.,Vili impfskeptischi Euterä informiere sich über s Internet.,Vieli impfskeptischi Eltera informiaren sich über ds Internet.,Vill impfskeptischi Eltere informiered sich im Internet.,Vill impfskeptischi Eltru informierunt schich uber z'Internet.,Vieli impfskeptischi Eltere informiere sich über s Internet.,Velli empfskeptischi Eltere informiere sech öber s'Internet.,Vell empfskeptischi Eltere informiered sech öber s Internet.,medizin,True
14,14,Sie stehen heute näher zum Rathaus und dienen der offiziellen Beflaggung.,Si stönd hüt nöcher zum Rothuus und diened de offizielle Beflaggig.,Si schtö hüt neecher zum Rathuus und diene dr offiziellä Beflaggig.,Sie stöhn hüt nöher zum rothuus und dianen dr offiziella Beflaggig.,Si stönd hüt nöcher bim Rathus und diened de offizielle Beflaggig.,Schi stähnt hitu necher zum Rathüüs und dienunt der offiziell Beflaggig.,Si stönd hüt nöcher bim Rothuus und diene dr ofizielle Beflaggig.,Sie stönd höt nöchher zom Rothus ond diene de offizielle Beflaggig.,Si stönd höt nöcher am Rothuus ond diened de offizielle Beflaggig.,random,
15,15,"Auch dieser Beweis enthält einige analytische Schwächen, die erst später beseitigt werden konnten.","Au de Bewiis enthalted einigi analytischi Schwächine, wo erscht spöter hend chöne besiitigt werde.","O dä Bewiis het es paar analytischi Schwächinä, wo ersch schpeter hei chönnä besitigt wärdä.","Au de Bewiis beinhaltet einigi analytischi Schwächa, wo erst spöter beseitigt hend könna werda.",Au de Bewis enthaltet analytischi Schwäche wo erscht spöter händ chöne besitigt werde.,"Öi der Bewies enthaltut es paar analytischi Schwächine, wa ersch später hent chännu bisitigt wärdu.","Au dä Bewiis het ae paar analytischi Schwäche, wo erst spöter händ könne besitigt wärde.","Au de Bewis enthaltet es paar analytischi Schwächine, wo erscht spöter het chönne besiegt wärde.","Au dä Bewiis hed es par analytischi Schwächene, womer erst spöter hed chönne besiitige.",random,
16,16,Beim Schwimmen üblich ist ein einteiliger Anzug mit Ärmeln.,Bim Schwümme üblich isch en einteilige Aazug mit Ärmel.,Bim Schwümmä isch ä eiteiligä Aazug mit Ermu üblech.,Bim Schwimma isch an einteiliga Azug mit Ärmel üblich.,Bim Schwümme isch en einteilige Ahzug mit Ärmel üblich.,Bim Schwimmu üblich isch en eiteilige Ahzug mit Ärmla.,Bim Schwümme üblich isch ä eiteilige Ahzug mit Ärmel.,Bem Schwömme öblech esch en eiteilige Ahzog met Ärmel.,Bem Schwemme esch en eitelige Azog met Ärmel öblech.,special,
17,17,Den Spielern machte der Reisestress nach dem Spiel nichts aus.,De Spieler het de Reisestress nochem Spiel nüt usgmacht.,Dä Schpiler het dr Reiseschtress nachem Schpiu nüt usgmacht.,Da spieler het dr Reisestress noch am Spiel nüt uusgmacht.,De Spiler hät de Reisestress nachem Spil nüt usgmacht.,De Spieler het der Reisestress nah dum Spiel nix üsgmacht.,De Spieler het de Reisestress nach em Spiel nüd usgmacht.,De Speler het de Stress fom reise nachem Spel nütusgmacht.,De Speler hed de Reisestress nachem Spel nüt usgmacht.,sport,
18,18,"Dass England an dieser WM um den Titel kämpft, ist für ihn aber mehr als verdient.","Das England a dere WM um de Titel kämpft, isch für ihn aber meh als vodient.","Dass Ängland i derä WM umä Titu kämpft, isch für ihn aber me aus verdient.","Das England an dera WM um da Titel kämpft, isch für ihn aber meh als verdiant.","Dass England a däre WM um de Titel kämpft, isch für ihn aber meh als verdient.","Dass Ängland an discher WM um de Titel kämpft, isch fer ihnu aber meh wa verdient.","Dass Ängland an däre WM um de Titel kämpft, isch für ihn aber mehr als verdient.",Dass England adere WM ome Titel kämpft esch för en aber meh als verdient.,"Är hets meh als verdient, dass Ängland a dere WM om de Sieg spelt",sport,
19,19,Die Stufe reicht in absoluten Zahlen geochronologisch von etwa Millionen bis etwa Millionen Jahren.,dStufe reicht i absolute Zahle geochronologisch vo öpe Millione bis öpe Millione Johr.,,D Stuufa riicht in absoluta Zahla geochronologisch vu öpa Milliona bis öpa Milliona Johr.,D Stufe gaht vo de absolute Zahle geochronologisch vo öpe Millione bis öpe Millione Jahr.,D'Stufa geit in absolute Zahle geochronologisch va etwa Millione bis etwa Millionu Jahri.,D Stuefe goht in absolute Zahle geochronologisch vo öbbe Millione bis öbbe Millione Joor.,D'Stufe länge e absolute Zahle geochronologisch fo öppe Millione bis öppe Millione Johr.,D Stufe esch en absolute zahle geochronologisch vo öppe Millione bes öppe Millione Johr.,special,
20,20,Am Sonntag und am Montag teilweise sonnig.,Am Sunntig und am Mäntig amigs sunnig.,Am Sunntig und am Mäntig teilwiis sunnig.,Am Sunntig und am Mentig teilwiis sunnig.,Am Sunntig und am Mäntig teilwis sunnig,Am Sunntag und am Mäntag teilwis sunnig.,Am Sunntig und am Mentig teilwiis sunnig.,Am Sonntig ond am Mentig esches teilwis sonnig.,Am Sonntig ond am Mäntig teilwiis sonnig.,srf_meteo,
21,21,"Denn sie verstehen, dass das die Position der brasilianischen Wirtschaft weltweit schwächen würde.","Will sie vostönd, dass das dPosition vo de brasilianische Wirtschaft weltwiit schwäche wür.","Denn si verschtö, dass das d Position vor brasilianischä Wirtschaft wäutwit würd schwächä.","Will sie verstöhn, dass das d Position vur brasilianischa Wirtschaft weltwiit schwächa wür.","Will si verstönd, dass das d Position vode brasilianische Wirtschaft wältwit würd schwächer mache.","Will schi verstähnt, dass das die Position vaner brasilianischu Wirtschaft wältwit schwächu würdi.","Si verstönd, dass das d Position vo dr brasilianische Wirtschaft wältwiit schwäche würdi.","Will sie verstönd, dass das d'Position fode brasilianische Wertschaft wältwis schwäche wörd.","Well sie verstönd, dass das d Position vode brasilianische Wertschaft wältwiit wörd schwäche.",wirtschaft,
22,22,"Bargeld im grossen Stil zu lagern, sei allerdings auch nicht ganz günstig.","Bargeld im grosse Stil zlagere, seg allerdings au nöd ganz günstig.","Bargäud im grossä Schtiu z lagerä , sig auerdings o nid ganz günschtig.","Bargeld im grossa Stil z lagera, sig allerding au nit ganz günstig.",Bargäld im grosse Stil zlagere segi aber au nöd ganz günstig.,Bargäld im grossu Stil z'lagru sige aber öi nit günschtig.,"Bargäld im grosse Stil z lagere, sig allerdings au nid ganz günstig.","Bargäld e grossem Stil z'lagere, seigi aber au ned ganz gönschtig.","Bargäld i grossem Stil z lagere, seg allerdengs au ned ganz gönstig.",wirtschaft,
23,23,Die Investitionskosten betragen nach Schätzungen der Branche zwischen eins und drei Milliarden Franken.,dInvestitionschöschte beträged noch Schätzige vo de Branche zwüsched eis und drü Milliarde Franke.,D Inveschtitionschöschtä betraagä nach Schetzigä vor Branchä  zwüschä eirä und drü Milliardä Frankä.,D Investitionskösta beträgen noch Schätziga vu dr Brancha zwüscha eis und drei Milliarda Franka.,D Investitionschoste sind nach Schätzige vode Branche zwüsched eis und drü Milliarde Franke.,D'Inveschtitionschoschte beträgunt nah Schätzige vaner Brancha zwischu einera und drii Milliarde Franku.,D Investitionskoste betrage noch Schätzige vo dr Branche zwüsche ei und drei Milliarde Franke.,D'Investitionschoschte betröge nach Schätzige fode Branche zwösche eis ond drü Milliarde Franke.,D Investitionschöste legged luut Schätzige vode Branche zwösche einere ond drü Milliarde Franke.,wissen,
24,24,"Das geht aber nur gut, wenn man die eigenen Daten ohne Probleme aus der Hand geben kann.","Da goht aber nur guet, wenn me di eigete Date ohni Problem us de Hand cha geh.","Das geit aber numä, wemä die eigetä Datä ohni Problem us dr Hand cha gä.","Das goht aber nur guat, wemma dia eigna Data ohni Probelm us dr Hand geh kann.","Das gaht aber nur guet, wemmer di eigene Date ohni Problem usde Hand geh chan.","Das geit aber nit nur, wemu d'eigenu Date ohni Problemi üser Hand chänne gäh.","Das goht aber nur gued, wenn me die eigene Date ohni Problem us dr Hand gäh ka.","Das goht aber nome guet, wennmer die eigete Date ohni Problem os de Hand geh chan.","Das gohd aber nor guet, wenn mer di eigete Date ohni Problem us de Händ cha gäh.",wissen,
25,25,Es hinterlässt Rückstände im Trinkwasser.,Es hinterloht Rückständ im Trinkwasser.,Äs hingerlat Rückschtänd im Trinkwasser.,Es hinterloht Rückständ im Trinkwasser.,Es hinterlaht Rückständ im Trinkwasser.,Äs hinerlaht Rückständ im Trichwasser.,Äs hinterlosst Rückständ im Trinkwasser.,Es henterloht Röckständ em Trenkwasser.,Es henderloht Röckständ em Trenkwasser.,regional,
26,26,"Je nach Kanton werden Leistungen von den Senioren selber getragen, welche in einem anderen Kanton die Krankenkassen decken.","Je noch Kanton werded dLeistige vo de Seniore selber treit, wo imne andere Kanton dKrankekasse decket.","Je nach Kanton wärdä Leischtigä vodä Seniorä säuber treit, wo imenä angerä Kanton d Chrankäkassä deckä.","Je noch Kanton werden Leistiga vu da Seniora selber treit, wo inem andera Kanton d Krankakassana decken.","Je nach Kanton werded Leistige vode Seniore sälber übernoh, wo imne andere Kanton d Chrankekasse decked.","Je nach Kanton wärdunt Leischtige vane Senioru sälber gitreit, wa imu andru Kanton d'Chrankukasse deckunt.","Je noch Kanton wärde Leistige vo de Seniore sälber treit, wo in anderne Kantön d Krankekasse deckt.","Je nach Kanton wärde d'Leistige fode Seniore selber deckt, wo emene andere Kanton d'Chrankekassene decke.","Je nach Kanton träged d Seniore leistige, wo en anderne Kantön vode Chrankekasse deckt send.",regional,
27,27,"Surmeir im Oberhalbstein ist die einzige grosse Region, die Rumantsch Grischun noch in der Schule unterrichtet.","Surmeir im Oberhalbstei isch die einzig gross Region, wo Rumantsch Grischon no i de Schuel unterrichtet.","Surmeir im Oberhaubschtei isch die einzigi grossi Region, wo ir Schueu no Rumantsch Grischun ungerrichtet.","Surmeir im Oberhalbstei isch dia einzig gross Region, wo Rumantsch Grischun no in dr Schual unterrichtet.","Surmeir im Oberhalbstei isch di einzig gross Region, wo Romantsch Grischun no ide Schuel unterrichtet.","Surmeir im Oberhalbstei isch d'einzig gross Region, wa Rumantsch Grischun nu iner Schüel unerrichtut.","Surmeir im Oberhalbstei isch die einzigi grossi Region, wo Rumantsch Grischun no in dr Schuel unterrichtet.",Surmeir im Oberhalbstei isch die einzigi grossi Region wo Romanisch no ede Schuel onterrechtet.,"Surmeir em Oberhalbstei esch di einzig grossi Region, wo Rumantsdch Grischun no ide Schuel onderrechtet werd.",regional,
28,28,"Und das sei eben ein Zeichen, dass die Windgeschwindigkeiten in den Alpentälern nochmals zunehmen würden.","Und das wer ebe e Zeiche, dass dWindgschwindigkeit i de Alpe nomol wür zuenäh.","U das sig äbä es Zeichä, dass d Windgschwindigkeitä idä Aupätäler nomau würdä zuenä.","Und das sig eba as Zeicha, dass dia Windgschwindigkeita in da Alpatäler nomol zuaneh würen.","Und das segi ebe es Zeiche, dass d Windgschwindigkeite ide Alpetäler nomal zuenähmed.","Und das sige äbu es Zeichu, dass d'Windgschwindigkeite ine Alputäler numal würdi züenää.","Und das sig ebbe ä Zeiche, dass d Windgschwindigkeit in de Alpetäler nomol zuenäh würd.","Ond das esch ebe es Zeiche, dass d'Wendgschwendigkeit ede Alpe nomol zuenäh werd.","Ond das seg ebe es zeiche, das de Wend ide Alpetäler no stärcher werd.",regional,
29,29,Eine Jagderlaubnis in diesen Zonen würde die Chancen des bereits im Raum stehenden Referendums erhöhen.,E Jagderlaubnis i dene Zone wür dChance vom bereits im Ruum stehende Referendum erhöche.,"ä Jagderloubnis i denä Zonä würdä d Chancä vom Referändum erhööchä, wo scho im Ruum schteit.",A Jagderlaubnis in denna Zona wür d Chanca vum schu im Raum stehenda Referendum erhöha.,"E Jagderlaubnis i däne Zone würd d Chance vom Referändum, wo scho im Rum staht, erhöhe.",En Jagderlöibnis in dene Zone würdi d'Chance vamu scho im Rüüm stehendu Referändum erhechu.,Ä Jagderlaubnis in däne Zone würd d Chance vom scho im Ruum stehende Referendum erhöhe.,D'Jagderlaubnis edene Zone wörd d'Chance förnes Referendum wo bereits em Rum stoht erhöhe.,E Jagderlaubnis i dene Zone wörd d Chance ufnes scho adänkts Referändum erhöche.,regional,
30,30,Beliebt sind auch monothematische Messen wie die Giardina und die Swissbau.,Beliebt sind au monothematischi Messe wie dGiardina und dSwissbau.,Beliebt si o monothematischi Mässä wi d Giardina und d Swissbau.,Beliabt sind au monothematischi Messa wia d Giardina und d Swissbau.,Monothematischi Mässe wie d Giardina oder d Swissbou sind au beliebt.,Bliebt sind öi monothematischi Mässe wie di Giardina und d'Swissbau.,,Beliebt send au monothematischi Messe wie Giardina ond Swissbau.,Au monothematischi Mässe wie d Giardina ond d Swissbau send beliebt.,regional,
31,31,"Da stehen Kopfsalat, Eichblattsalat und Zuckerhut neben Carmelle-Tomaten, Zitronenbasilikum und Blumenmischungen.","Do stönd Chopfsalot, Eichblattsalot und Zuckerhuet nebed Carmelle-Tomate, Zitronebasilikum und Bluememischige.","Da schtö Chopfsalat, Eichblattsalat und Zuckerhuet näbä Carmelle-Tomatä, Zitronäbasilikum und Bluemämischigä.","Da stönd Kopfsalat, Eichblattsalat und Zuckerhuat neb Carmelle-Tomata, Zitronabasilikum und Bluamamischiga.","Da stönd Chopfsalat, Eichblattsalat und Zuckerhuet näbed CarmelleTomate, Zitronebasilikum und Bluememischige.","Da steit Chopfsalat, Eichblattsalat und Zuckerhüet näbu Carmelle-Tomat, Zitronubasilikum und Blüemumischige.","Do stön Kopfsalat, Eichblattsalat und Zuckerhuet näbe Carmelle-Tomate, Zitronebasilikum und Bluememischige.","Dete stönd Chopfsalot, Eichbergsalot ond Zockerhuet näbe Carmelle-Tomate, Zitronebasilikom ond Bluememeschige.","Döt Stönd Chopfsalot, Eichblattsalot ond Zockerhuet näbe Carmelle-Tomate, Zitronebasilikom ond Bluememeschige.",regional,
32,32,Denn bei der Standortwahl ist für Unternehmen nicht nur der Steuersatz entscheidend.,Will bi de Standortwahl isch für Unternehme nöd nur de Stürsatz entscheidend.,Denn bir Schtandortwau isch für Ungernämä nid numä dr Schtüürsatz entscheidend.,Denn bi dr Standortwahl isch für Unternehma nit nur dr Stüürsatz entscheidend.,Will bi de Standortwahl isch für Unternähme nöd nur de Stürsatz entscheidend.,Will bi der Standortwahl isch fer Unernähmu nit nur der Stiirsatz entscheidend.,Will bi dr Standortwahl isch für Unternähme nid nur dr Stürsatz entscheidend.,Bede Standortwahl esch för Onternähme ned nome de Stürsatz wechtig.,Well bede Standortwahl vomene Ondernäme esch ned nor de Stüürsatz wechtig.,regional,
34,34,Die entsprechenden abgeschnittenen Szenen werden in dieser Fassung als Extras angeführt.,Di entsprechende abgschnittene Szene werded i dere Fassig als Extras aagführt.,Die entschprächendä abgschnittnä Szene wärdä i derä Fassig aus Extras aagfüehrt.,Dia entsprechenda abgschnittana Szena werden in dera Fassig als Extras aagfüahrt.,Di entsprächende abgschnittene Szene werded i dere Version als Extras ahghänkt.,Dentsprächendu abgschnittnu Szene wärdunt in discher Fassig als Äxtras üfgfiehrt.,Die entsprächende agschnittene Szene wärde in däre Fassig als Extras ahgfüehrt.,Die entsprächend abgschnettene Szenene wärde edere Fassig als extras ahgfüegt.,Di abgschnettne Szene wärded i dere Fassig als Extra aghänkt.,special,
35,35,Dieser kann aber im Rahmen eines Missverständnis des Betrachters dennoch dargestellt beziehungsweise angedeutet werden.,De chan aber im Rahme vomne Missverständnis vom Betrachter trotzdem dargstellt beziehigswiis aadüted werde.,Dä cha aber im Rahmä vomene Missverschtändnis vom Betrachter trotzdäm dargschteut beziehigswiis aadütet wärdä.,De kann aber im Rahma vunem Missverständnis vum Betrachter gliich dargstellt bezühigswiis aadütet werda.,De chan aber im Rahme vomne Missverständnis vom Betrachter trotzdem dargstellt beziehigswis ahdütet werde.,Dische cha aber im Rahmu vamu Missverständnis vam Betrachter gli dargstellt beziehigswiis ahgeditut wärdu.,Dä cha aber im Rahme vo me Missverständnis vom Betrachter doch dargstellt beziehigswiis ahdütet wärde.,De cha aber em Rahme fomene Messverständnis fom Betrachter trotzdem no dargstellt beziehigswis adütet wärde.,Das chan aber en Form vomene Messverständnis vom Betrachter trotzdem dargstellt beziehigswiis adüted wärde.,special,
36,36,Ich deute ihr mein Interesse offensichtlich an.,I düt ihre mis Interesse offesichtlich aah.,Ig dütä irä mis Inträssä offäsichtlech a.,I düüta ihra mis Interessa offasichtlich aa.,Ich düte ihre mis Interässe offesichtlich ah.,Ich ditu ra mis Interässi offusichtlich ah.,Ich dür ihre mis Interässe offesichtlich ah.,Ich zeige ehre mis Interässe dütlech.,Ech zeig ehre offesechtlech mis inträsse.,special,
37,37,Ziel der Netiquette ist eine möglichst für alle Teilnehmer angenehme Art der Kommunikation.,Ziel vo de Netiquette isch e möglichscht für alli Teilnehmer agnehmi Art vo de Kommunikation.,Ziu vor Nettiquette isch ä müglechscht aagnähmi Kommunikation für aui Teilnähmer.,Ziel vur Netiquette isch a möglichst für alli Teilnehmer agnehmi Art vur Kommunikation.,,Ziel vaner Netiquette isch en meglichscht fer alli Teilnähmer agnähmi Art vaner Kommunikation.,Ziel vo dr Netiquette isch ä möglichst für alli Teilnähmer ahgnähmi Art vo dr Kommunikation.,"S'Ziel fode Nettiquette esch, för alli Teilnehmer en agnehmi Art fode Kommunikation.",Ziel vode Netiquette esch en möglechst för alli Teilnähmer agnähmi Art vode Komunikation.,special,
